Project,Issue_id,Comment id,Jira URL,Label,Theme (Code),Theme (Coder 2),Theme (Coder 3)
HBASE,HBASE-6831,13465133,https://issues.apache.org/jira/browse/HBASE-6831,1,Unknown,Non-reproducible,Unknown
HBASE,HBASE-7000,13478647,https://issues.apache.org/jira/browse/HBASE-7000,1,Unknown,Unknown,Unknown
HBASE,HBASE-7156,13496623,https://issues.apache.org/jira/browse/HBASE-7156,1,Unknown,Unknown,Unknown
HDDS,HDDS-1009,16751798,https://issues.apache.org/jira/browse/HDDS-1009,1,Unknown,Unknown,Environment Impact
HDDS,HDDS-1072,16781289,https://issues.apache.org/jira/browse/HDDS-1072,1,Unknown,Unknown,Unknown
HDDS,HDDS-134,16777215,https://issues.apache.org/jira/browse/HDDS-134,1,Unknown,Unrelated Tests,Unknown
HDDS,HDDS-1352,16804565,https://issues.apache.org/jira/browse/HDDS-1352,1,Unknown,Configuration-related Issues,Unknown
HDDS,HDDS-99,16712129,https://issues.apache.org/jira/browse/HDDS-99,1,Unknown,Unknown,Unknown
HDFS,HDFS-10264,15246970,https://issues.apache.org/jira/browse/HDFS-10264,1,Unknown,Unknown,Unknown
HDFS,HDFS-10383,15285382,https://issues.apache.org/jira/browse/HDFS-10383,1,Unknown,Unknown,External Interference
HDFS,HDFS-10630,15994086,https://issues.apache.org/jira/browse/HDFS-10630,1,Unknown,Unknown,Environment Impact
HDFS,HDFS-11112,15849181,https://issues.apache.org/jira/browse/HDFS-11112,1,Unknown,Unknown,Unknown
HDFS,HDFS-11526,15923652,https://issues.apache.org/jira/browse/HDFS-11526,1,Unknown,Unknown,Unknown
HDFS,HDFS-11591,15947812,https://issues.apache.org/jira/browse/HDFS-11591,1,Unknown,Unknown,Configuration-related Issues
HDFS,HDFS-11793,16006240,https://issues.apache.org/jira/browse/HDFS-11793,1,Unknown,Unknown,Unknown
HDFS,HDFS-1212,12883374,https://issues.apache.org/jira/browse/HDFS-1212,1,Unknown,Unknown,Unknown
HDFS,HDFS-12828,16437845,https://issues.apache.org/jira/browse/HDFS-12828,1,Unknown,Unrelated Tests,Unknown
HDFS,HDFS-12935,16330080,https://issues.apache.org/jira/browse/HDFS-12935,1,Unknown,Unknown,Unknown
HDFS,HDFS-13783,16891072,https://issues.apache.org/jira/browse/HDFS-13783,1,Unknown,Unknown,Unknown
HDFS,HDFS-13926,16644312,https://issues.apache.org/jira/browse/HDFS-13926,1,Unknown,Unknown,Unknown
