Number of Parallel Issues,Number of Prior Comments,Is Cross Projects,Number of Similar Failures,Is Shared Same Emsg,Is Incorporates,Is Reference,Is dependent,Is Duplicate,Is Supercedes,Is Cloners,Is Regression,Is Required,Is Dependent,Is Container,Is Child-Issue,Is Problem/Incident,Is Blocked,Is Completes,Is Testing,Is Parent Feature,Is Issue split,Has Config Files,Has Source Code,CI Latency
0.026418738980213748,0.19632480851114384,0.014687744057100554,0.19894846080086165,0.09303112228673904,0.00771549612924677,0.030597561116910383,0.011236726898995079,0.00822461418408652,0.007847599089151126,0.0018941871106537677,0.015334848766764844,0.008787787227813745,0.002323267953606877,0.006095537702258293,0.0018482907228723772,0.005796600817123609,0.0021641730018694674,0.0,0.0,0.0,0.0,0.02481250409839242,0.03025066941564101,0.30565926112855496
0.02620405176703634,0.19710170303870966,0.015574615166737851,0.1980734065257263,0.09351975698637303,0.008186166576307453,0.030411211513435267,0.011374718681017316,0.007882729026408434,0.007432125299313502,0.001985424389001227,0.016250097811773816,0.00861703208570377,0.0025719983065347505,0.006121544303718713,0.0019181291815073352,0.005419167951649341,0.0022651717530633225,0.0,0.0,0.0,0.0,0.025326797796405585,0.03144884823487441,0.3023153036047026
0.025576177230492027,0.19418944368816848,0.015475119672858676,0.20235039225560722,0.09224407658345991,0.007770143794378699,0.030733443879465777,0.01144146877855847,0.008577698714705073,0.007939034745528466,0.00196578532451761,0.015716018744010997,0.008319415871424738,0.0022340246451090892,0.006165980454547447,0.0018641962289164204,0.005765007653114649,0.0022495433512550837,0.0,0.0,0.0,0.0,0.024525999413092175,0.030837805643292304,0.3040592233274967
0.02634036785277826,0.19559246528520371,0.01494202096160371,0.19943022351947617,0.09233915881578823,0.008224157713208901,0.030872851801991362,0.01112090303509132,0.0077499565783181595,0.007973614717865441,0.0018959241682322083,0.01511829304296429,0.008611488714761004,0.0024218160046601883,0.006555783697843376,0.0019489401851995366,0.005469719120981595,0.0019909299729497583,0.0,0.0,0.0,0.0,0.025454435592334464,0.030138757632653945,0.30580819158609446
0.027013130872618602,0.1974549904862684,0.015460794624157479,0.1986419857057506,0.09076135682787835,0.007885677638467065,0.03189078804198519,0.01215567197376178,0.007938266857812157,0.008230593991350225,0.002244357670926816,0.014755185106371648,0.008575317707003446,0.0025013696376806165,0.006311393883466678,0.001971268321911742,0.005753364369777919,0.0021719006898683877,0.0,0.0,0.0,0.0,0.025201630473194302,0.030831670843498638,0.30224928427625
0.027228897799343947,0.1990925150562109,0.01526347806906787,0.19722081125606597,0.09191373764198218,0.008228767370319884,0.030181372682008805,0.011211558598143283,0.008546387619994034,0.007470744724000433,0.002070599776431432,0.015496639109063293,0.008529704269699418,0.0026030011345441226,0.0059301251807804874,0.0018078659480677648,0.005477609715175995,0.002164956601492882,0.0,0.0,0.0,0.0,0.02502938324905351,0.030536926333161574,0.30399491786539223
0.026532782197076298,0.19486984583169079,0.0156968084947516,0.19768815429869924,0.09385650721847105,0.007677822530202575,0.030768394816860094,0.01155591698017155,0.00794013604373798,0.007983380854025505,0.0023263132813555907,0.014788326462418743,0.008580363879855201,0.0026423271924469255,0.006200110931223433,0.0018687342562091883,0.005469735039765333,0.0021691694544362147,0.0,0.0,0.0,0.0,0.025173584577998044,0.030453737544462667,0.30575784811414203
0.02604703729907601,0.19784251695977792,0.014758995440284214,0.19864930355557697,0.09227640607836447,0.007487806527436985,0.03128190251577894,0.011190425078426368,0.007926254273171026,0.008252746765191643,0.00232831578253469,0.015828293537036863,0.008348329137858313,0.0022932370513773143,0.006068941887665989,0.0018886264094018044,0.006036854541232581,0.0019125854773296002,0.0,0.0,0.0,0.0,0.025994064528085486,0.029495395236849735,0.3040919619175432
0.026467396998764846,0.19730138760111493,0.01570724577957993,0.19922022510660908,0.09351037465600213,0.008609454207959171,0.029546574135363345,0.011552137298196775,0.00867676885833932,0.0077149487214403945,0.0021082979071196904,0.01587453200442484,0.007967826813915658,0.00235398719364263,0.006184753392399097,0.0016122731057332169,0.005311212239080665,0.002168857772410966,0.0,0.0,0.0,0.0,0.024605798809508323,0.030037250972393147,0.3034686964260019
0.02596517599903935,0.19477443822434554,0.015317397195395127,0.19927243134040537,0.09032188237348861,0.008067341312445913,0.032129830824425595,0.011139702764168504,0.008164143634480394,0.007702706101529755,0.002552080423760483,0.016478509660849298,0.008215639510685496,0.0024026719906989204,0.006016841440942582,0.0018275929460905415,0.005909714872201006,0.002228811123429662,0.0,0.0,0.0,0.0,0.024593621264948663,0.030994036376950206,0.305925430619719
