Number of Parallel Issues,Number of Prior Comments,Is Cross Projects,Number of Similar Failures,Is Shared Same Emsg,Is dependent,Is Duplicate,Is Reference,Is Cloners,Is Regression,Is Blocker,Is Supercedes,Is Container,Is Required,Is Problem/Incident,Is Blocked,Is Dependent,Is Completes,Is Child-Issue,Is Dependency,Is Testing,Has Config Files,Has Source Code,CI Latency
0.02308346154192504,0.21045326483530205,0.015507808486609025,0.08714472265239308,0.03728032461064683,0.02792922184578946,0.023058030865312475,0.03963175690285079,0.007507780638528985,0.027856474011142884,0.020530791007591476,0.008653437061442396,0.006048574225722516,0.011430247588683289,0.010077273408811942,0.0023070651815452073,0.00259010320392852,0.0,0.0,0.0,0.0,0.03712338345695837,0.031941730729257045,0.36984454774555864
0.02310307476269605,0.21215613062489633,0.015549909013312407,0.08689543106472497,0.037627295316787955,0.027106654413278176,0.022845923596721735,0.04049027324747159,0.007745786463706004,0.028396850958953168,0.020304670478473705,0.008944008805720143,0.006170993699797387,0.010979445272001481,0.00988078853191605,0.00245482966231701,0.002555747495642277,0.0,0.0,0.0,0.0,0.03579336973762548,0.03156252102814167,0.36943629582581644
0.02298706832664415,0.20934864144879284,0.014804887803080782,0.08562490080216023,0.03833312552001843,0.027394070327849962,0.02210916732621627,0.04132155326852305,0.007569203702731675,0.028386996275608655,0.020551429259750155,0.008989573464380073,0.006024608461311568,0.011274670392182686,0.009358362936732872,0.002493438045340025,0.0024877711822112953,0.0,0.0,0.0,0.0,0.037890569377081115,0.03325563394589458,0.36979432813348967
0.023108287373564445,0.2108115774663355,0.015504427465054071,0.08831271944961655,0.03797596308439514,0.02824239369451298,0.021972751761061747,0.04010805930720142,0.007571025847841846,0.02795479562350179,0.02052184054752642,0.008613290140368875,0.005842888112906325,0.011170003792581314,0.009671164722866854,0.002455843712823162,0.0022640661069728155,0.0,0.0,0.0,0.0,0.03705959968054496,0.03237790232377572,0.3684613997865481
0.022332069812925154,0.21001490131431916,0.015471204417225987,0.08608965872537436,0.03719094574099587,0.027578916943821512,0.02265943129512086,0.04167190664701541,0.007350509958175761,0.028380158234230346,0.02052819161263201,0.008640199696487936,0.006193840042944937,0.011200656659486087,0.010492365573513594,0.002525580155653285,0.0025819570231091914,0.0,0.0,0.0,0.0,0.03792785261506515,0.03129525238318738,0.36987440114871606
0.023631986728775384,0.208793912425693,0.015461524988717917,0.08909065415499542,0.03811244367023951,0.027599569615176213,0.021656363564015985,0.0409790841835299,0.007723616012156581,0.027675187805886757,0.019837577800744487,0.00872983636788736,0.0056148084279856484,0.011334519578621183,0.010152247701103992,0.002268544867116531,0.0025951591326203215,0.0,0.0,0.0,0.0,0.036625452618709586,0.032327753434825364,0.3697897569211988
0.02221453117978458,0.20850287358193,0.015424099572472602,0.08765347677008863,0.03773400027054152,0.028066260932354453,0.022192173034094452,0.04020272059829647,0.007807333709686222,0.02740017188518835,0.02061404829377194,0.00867980642675104,0.006459725725487121,0.011286052425547848,0.009897400093646726,0.002573700201476203,0.0026131533934841316,0.0,0.0,0.0,0.0,0.03671002976008494,0.03194061929321377,0.3720278228520989
0.022789830287299008,0.2117181649939704,0.014849350764751676,0.088595623137446,0.037768753983032845,0.02726379809436489,0.021803344402205722,0.040656294708813684,0.007320996814072257,0.02843141213119018,0.02073723191598361,0.008687749698282444,0.0061010525472824486,0.011429960080647061,0.009458435634582913,0.0023585265589703037,0.002486973169581976,0.0,0.0,0.0,0.0,0.03676808018400052,0.031477425148831964,0.36929699574469016
0.023018967935976267,0.20988934168394402,0.015682220685885907,0.08754919611145368,0.0384160603537965,0.026944066214913735,0.022137181622818625,0.04022738673212725,0.007100915202263236,0.02733968915415954,0.02052679805585899,0.008333908296685908,0.00602936028748668,0.011895512108554124,0.01007985008682601,0.002419480263163403,0.002276467938358145,0.0,0.0,0.0,0.0,0.036346441280565606,0.03190132166290428,0.3718858343222581
0.022719372298520994,0.2102793760137791,0.014979237080060253,0.08814948489217764,0.03839635503284845,0.02759726586522212,0.022089244895396952,0.04021928803580897,0.0075892468042703986,0.028119129300993684,0.019244134494961186,0.00841698991790588,0.006424157995518714,0.011761637390134602,0.009241683612222091,0.0024548021862349683,0.002227873842177437,0.0,0.0,0.0,0.0,0.037137092797767536,0.03246889044814195,0.37048473709585716
0.02279603911047334,0.21073328074589762,0.015257366437013257,0.08724395724924926,0.0379612860839856,0.027001374021694186,0.022013618119309592,0.04159161846618782,0.007416786893777462,0.028199955437884543,0.0200704381943775,0.008827628214115367,0.0063300677422491155,0.011257778493767776,0.009589039087998642,0.0025301979718932318,0.0023473947253921925,0.0,0.0,0.0,0.0,0.03766406585667432,0.03165608808644256,0.3695120190616167
0.022215259229795184,0.20706614010193364,0.01525706898281112,0.08710948484854156,0.03827477259930182,0.02748143662578432,0.02270458868068271,0.0409540056082945,0.007235028910506152,0.0280891301315561,0.020243796869263055,0.008609348698409309,0.006542836592034709,0.012078790926001972,0.009773123885412958,0.0024492025617318855,0.0024853617454153637,0.0,0.0,0.0,0.0,0.03655358657452949,0.03258379702623411,0.37229323940176
