Number of Parallel Issues,Number of Prior Comments,Is Cross Projects,Number of Similar Failures,Is Incorporates,Is Reference,Is Duplicate,Is Regression,Is Blocker,Is Container,Is dependent,Is Supercedes,Is Required,Is Cloners,Is Blocked,Is Problem/Incident,Is Dependent,Is Child-Issue,Is Dependency,Is Parent Feature,Has Config Files,Has Source Code,CI Latency
0.2925340960368174,0.11620777837435665,0.0,0.11944914117668888,0.0,0.027439456039249393,0.0034497416322816577,0.0004292165133761184,0.008174496751816137,0.00461495021900761,0.009300442012204455,0.0,0.0007011779098011976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02473428664331305,0.03542468855303306,0.35754052813805437
0.28863719549534156,0.11533072991589761,0.0,0.11827830112593155,0.0,0.029531178993594386,0.0030730335994609763,0.0004534070415750059,0.008029300640334892,0.004435800339316647,0.010061467629189169,0.0,0.0006005291524597341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02528816339339478,0.036929757847768876,0.35935113482573483
0.2915548971619085,0.11366708286217175,0.0,0.11807307620052862,0.0,0.029993718835265686,0.0027623862161688236,0.00037426790403393594,0.007850175597834576,0.004910475945766857,0.009503358688013438,0.0,0.0006409022464891432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02314367491717793,0.03646398350148619,0.3610619999231545
0.288482647433253,0.11848868713304214,0.0,0.1168543589370282,0.0,0.028582480787570492,0.0034180722951861345,0.0005052837070462092,0.008397148172380521,0.004869181162541324,0.00896541359961261,0.0,0.0007391820835838296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024156445549117844,0.03711433945276915,0.35942675968686855
0.28657143113934413,0.1170729719875093,0.0,0.11998296821775241,0.0,0.02743552725033547,0.002881354763926238,0.0004177560726750055,0.008047052572416075,0.005196472329240668,0.00918150586328725,0.0,0.0005152915531688252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0246063259340202,0.03699268805468646,0.361098654261638
0.2892221435066078,0.11489020426566084,0.0,0.1187002301129704,0.0,0.029844960201799782,0.0033368027203728827,0.0003827667745313015,0.00851781005848643,0.004326426489989774,0.009246347965625143,0.0,0.0007418240442036339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024785478878770025,0.03690487095460826,0.35910013402637364
0.2877211517085031,0.1138984745984543,0.0,0.11902556810904438,0.0,0.028886643847084198,0.0027322581652227725,0.0004335917321395104,0.008313563220642823,0.0049145740830137865,0.009428889249537043,0.0,0.0006467757765527602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023941275471399313,0.03801970734897826,0.3620375266894277
0.29028322516737415,0.11892726970627696,0.0,0.11756134923095343,0.0,0.02734186958422332,0.0029772735200695633,0.00040374369455669723,0.007622057096318429,0.004075606658382016,0.009132442827772955,0.0,0.0007689440219356314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02485787953524797,0.0363975624869177,0.3596507764699711
0.28833959924141905,0.11797671749362289,0.0,0.11861777659635356,0.0,0.028252514588707006,0.00320042187879782,0.0003573938895333077,0.008700417465222886,0.004611487208530454,0.009866310531635331,0.0,0.0006781236224572091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025061696921416833,0.03609767830161455,0.3582398622606892
0.2902685913646824,0.11757927053214576,0.0,0.11911207066222755,0.0,0.028117430936235737,0.0029307636809752582,0.00044033982282014816,0.007935689837700509,0.004519901843764605,0.009074430659094293,0.0,0.0006184704405971379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023882750112916924,0.03605199246414635,0.35946829764269334
