pr_number,pr_url,build_id,build_name,build_url,commit_sha,build_started_at,build_completed_at,pr_created_at,pr_author,has_unrelated_discussion,num_associated_comments,num_parallel_issues,num_prior_comments,ci_latency_days,has_code_patch,is_shared_same_emsg,num_similar_failures,has_config_files,config_files_count,config_lines_added,config_lines_deleted,config_lines_modified,has_source_code,source_code_files_count,source_code_lines_added,source_code_lines_deleted,source_code_lines_modified,label,label_reason
44995,https://github.com/keycloak/keycloak/pull/44995,58440220708,External Infinispan IT (clusterless),https://github.com/keycloak/keycloak/actions/runs/20340899282/job/58440220708,7de1272636d1038b1e3404f531f3fb92e534b0a3,2025-12-18T14:54:36Z,2025-12-18T15:00:31Z,2025-12-18T12:06:19Z,forkimenjeckayang,False,0,22,0,0.1168634259259259,False,False,0,False,0,0,0,0,True,5,9,5,14,N,No clear unrelated indicator
44866,https://github.com/keycloak/keycloak/pull/44866,58314981096,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20301486645/job/58314981096,16aec2b00df38a61379c3a7d3ab6946e4e83b629,2025-12-17T12:57:09Z,2025-12-17T12:57:19Z,2025-12-11T21:59:36Z,pedroigor,False,0,5,0,5.623298611111111,False,False,0,False,0,0,0,0,True,14,388,103,491,N,No clear unrelated indicator
44755,https://github.com/keycloak/keycloak/pull/44755,57833488260,Status Check - Keycloak JavaScript CI,https://github.com/keycloak/keycloak/actions/runs/20137673510/job/57833488260,e59ee99888668dfbb62e06d2c35a92cc120f8a51,2025-12-11T21:28:11Z,2025-12-11T21:28:30Z,2025-12-08T17:31:09Z,ahus1,False,0,21,1,3.1646064814814814,False,False,0,False,0,0,0,0,False,0,0,0,0,N,No clear unrelated indicator
44225,https://github.com/keycloak/keycloak/pull/44225,55406584711,Status Check - Keycloak Operator CI,https://github.com/keycloak/keycloak/actions/runs/19364494349/job/55406584711,18ffe673cbe487e895a1ca70d7f922f19c47afc5,2025-11-14T12:55:46Z,2025-11-14T12:55:54Z,2025-11-14T12:24:25Z,ahus1,False,1,24,1,0.0217708333333333,False,False,0,False,0,0,0,0,True,1,16,5,21,N,No clear unrelated indicator
43229,https://github.com/keycloak/keycloak/pull/43229,52100420736,UI Shared,https://github.com/keycloak/keycloak/actions/runs/18298052720/job/52100420736,75936d35f9bd011f171b74c65fcbb435adf632ab,2025-10-07T00:15:32Z,2025-10-07T00:16:11Z,2025-10-07T00:15:08Z,dependabot[bot],False,1,14,0,0.0002777777777777,False,False,0,True,2,65,65,130,False,0,0,0,0,N,No clear unrelated indicator
43882,https://github.com/keycloak/keycloak/pull/43882,54395084461,label,https://github.com/keycloak/keycloak/actions/runs/19046250506/job/54395084461,714ed6b587d485e243418310447e095f8d1a45ee,2025-11-03T19:07:10Z,2025-11-03T19:07:19Z,2025-10-31T17:03:52Z,ahus1,False,0,12,0,3.085625,False,False,0,True,2,62,0,62,True,2,12,6,18,N,No clear unrelated indicator
43697,https://github.com/keycloak/keycloak/pull/43697,53701260364,Store Model Tests,https://github.com/keycloak/keycloak/actions/runs/18822828663/job/53701260364,8c43ea6af68ba40790f2607f5c197b44eb8b7aa1,2025-10-26T19:54:23Z,2025-10-26T20:23:58Z,2025-10-24T13:20:12Z,ahus1,False,1,4,1,2.273738425925926,True,False,0,False,0,0,0,0,True,2,4,1,5,N,No clear unrelated indicator
43229,https://github.com/keycloak/keycloak/pull/43229,52101539046,Status Check - Keycloak JavaScript CI,https://github.com/keycloak/keycloak/actions/runs/18298052720/job/52101539046,75936d35f9bd011f171b74c65fcbb435adf632ab,2025-10-07T00:37:02Z,2025-10-07T00:37:10Z,2025-10-07T00:15:08Z,dependabot[bot],False,1,14,0,0.0152083333333333,False,False,0,True,2,65,65,130,False,0,0,0,0,N,No clear unrelated indicator
43208,https://github.com/keycloak/keycloak/pull/43208,52001117869,Admin UI,https://github.com/keycloak/keycloak/actions/runs/18266301989/job/52001117869,4ad31e9323ff79a287a703d11b50dca55f5a5a28,2025-10-06T00:12:59Z,2025-10-06T00:14:56Z,2025-10-06T00:12:36Z,dependabot[bot],False,1,12,0,0.0002662037037037,False,False,0,True,4,13,13,26,False,0,0,0,0,N,No clear unrelated indicator
44943,https://github.com/keycloak/keycloak/pull/44943,58206450181,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20269121367/job/58206450181,bb1f3edd75a5b736083573616a3a74df610a3212,2025-12-16T14:21:19Z,2025-12-16T14:21:31Z,2025-12-16T13:12:17Z,martin-kanis,False,0,16,0,0.0479398148148148,False,False,0,False,0,0,0,0,True,2,45,0,45,N,No clear unrelated indicator
44653,https://github.com/keycloak/keycloak/pull/44653,57095967878,UI Shared,https://github.com/keycloak/keycloak/actions/runs/19916412915/job/57095967878,b26f4c3f13520eef733788f6dd82f49aab24aea0,2025-12-04T03:14:31Z,2025-12-04T03:15:10Z,2025-12-04T03:14:15Z,dependabot[bot],False,1,17,0,0.0001851851851851,False,False,0,True,9,865,1191,2056,False,0,0,0,0,N,No clear unrelated indicator
45050,https://github.com/keycloak/keycloak/pull/45050,58570611485,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20379461752/job/58570611485,9555b7a025653746e79e41f0a696d0fbd3de9073,2025-12-19T19:47:38Z,2025-12-19T19:47:45Z,2025-12-19T18:15:44Z,shawkins,False,1,14,1,0.0638194444444444,False,False,0,False,0,0,0,0,True,3,64,34,98,N,No clear unrelated indicator
44995,https://github.com/keycloak/keycloak/pull/44995,58443189671,Status Check - Keycloak Operator CI,https://github.com/keycloak/keycloak/actions/runs/20340899337/job/58443189671,7de1272636d1038b1e3404f531f3fb92e534b0a3,2025-12-18T15:21:12Z,2025-12-18T15:21:20Z,2025-12-18T12:06:19Z,forkimenjeckayang,False,0,22,0,0.1353356481481481,False,False,0,False,0,0,0,0,True,5,9,5,14,N,No clear unrelated indicator
43208,https://github.com/keycloak/keycloak/pull/43208,52001191773,Status Check - Keycloak JavaScript CI,https://github.com/keycloak/keycloak/actions/runs/18266301989/job/52001191773,4ad31e9323ff79a287a703d11b50dca55f5a5a28,2025-10-06T00:14:59Z,2025-10-06T00:15:07Z,2025-10-06T00:12:36Z,dependabot[bot],False,1,12,0,0.0016550925925925,False,False,0,True,4,13,13,26,False,0,0,0,0,N,No clear unrelated indicator
44825,https://github.com/keycloak/keycloak/pull/44825,57742891627,Status Check - Keycloak JavaScript CI,https://github.com/keycloak/keycloak/actions/runs/20120709887/job/57742891627,8909d3578f429011bef6bb2c5a47678231933dab,2025-12-11T04:05:34Z,2025-12-11T04:05:42Z,2025-12-11T03:14:00Z,dependabot[bot],False,1,21,0,0.0358101851851851,False,False,0,True,9,875,1206,2081,False,0,0,0,0,N,No clear unrelated indicator
43892,https://github.com/keycloak/keycloak/pull/43892,54354273634,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/19032005071/job/54354273634,66c76e4ed7834f01754be8624e9cb530aa8f3f94,2025-11-03T12:08:21Z,2025-11-03T12:08:27Z,2025-11-03T07:38:33Z,keshavprashantdeshpande,False,0,12,0,0.1873611111111111,False,False,0,True,1,8,0,8,True,4,134,13,147,N,No clear unrelated indicator
43229,https://github.com/keycloak/keycloak/pull/43229,52100420740,Admin UI,https://github.com/keycloak/keycloak/actions/runs/18298052720/job/52100420740,75936d35f9bd011f171b74c65fcbb435adf632ab,2025-10-07T00:15:30Z,2025-10-07T00:16:57Z,2025-10-07T00:15:08Z,dependabot[bot],False,1,14,0,0.0002546296296296,False,False,0,True,2,65,65,130,False,0,0,0,0,N,No clear unrelated indicator
44001,https://github.com/keycloak/keycloak/pull/44001,54675702243,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/19132201277/job/54675702243,4946cf350895c8e7f947af6310a5311a68741f05,2025-11-06T10:16:09Z,2025-11-06T10:16:15Z,2025-11-06T10:13:36Z,ahus1,False,1,14,0,0.0017708333333333,False,False,0,False,0,0,0,0,True,10,46,68,114,N,No clear unrelated indicator
44999,https://github.com/keycloak/keycloak/pull/44999,58565068692,"Java Distribution IT/UT (windows-latest, temurin, 25)",https://github.com/keycloak/keycloak/actions/runs/20379038042/job/58565068692,4089222701a11025d7cf0cb332a6d0bf90a2089c,2025-12-19T18:34:44Z,2025-12-19T18:43:07Z,2025-12-18T13:30:59Z,sguilhen,False,0,14,1,1.2109375,True,False,0,False,0,0,0,0,True,5,58,34,92,N,No clear unrelated indicator
45025,https://github.com/keycloak/keycloak/pull/45025,58524677420,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20365592774/job/58524677420,dfd0d9daf04ffb967115f80ee8eef7e214fa9c13,2025-12-19T10:22:31Z,2025-12-19T10:22:41Z,2025-12-19T09:21:29Z,flyinfish,False,0,14,0,0.0423842592592592,False,False,0,False,0,0,0,0,True,1,16,14,30,N,No clear unrelated indicator
43771,https://github.com/keycloak/keycloak/pull/43771,53947480709,label,https://github.com/keycloak/keycloak/actions/runs/18900829786/job/53947480709,4fdd6edafd626eca21d7567112e83d0f5af4a01f,2025-10-29T07:52:13Z,2025-10-29T07:52:19Z,2025-10-28T14:26:11Z,ryanemerson,False,0,17,0,0.726412037037037,False,False,0,False,0,0,0,0,True,1,2,2,4,N,No clear unrelated indicator
43046,https://github.com/keycloak/keycloak/pull/43046,51552081956,Admin UI,https://github.com/keycloak/keycloak/actions/runs/18116198363/job/51552081956,f37ce44c27cc205fd62991d1f4cba9281787293b,2025-09-30T01:55:19Z,2025-09-30T01:56:48Z,2025-09-30T01:54:42Z,dependabot[bot],False,1,27,0,0.0004282407407407,False,False,0,True,2,65,65,130,False,0,0,0,0,N,No clear unrelated indicator
43652,https://github.com/keycloak/keycloak/pull/43652,53381345183,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/18717670597/job/53381345183,dc6d59ab1130a38b026e11ed942cd3c2b2be90d5,2025-10-22T13:25:41Z,2025-10-22T13:25:51Z,2025-10-22T13:23:55Z,stianst,False,0,9,0,0.0012268518518518,False,False,0,True,1,1,1,2,True,9,264,103,367,N,No clear unrelated indicator
44382,https://github.com/keycloak/keycloak/pull/44382,56044135028,Status Check - Keycloak Operator CI,https://github.com/keycloak/keycloak/actions/runs/19570161158/job/56044135028,f71dfae0bc1c35ea4d6db0a1d2a56d4b2c3f9695,2025-11-21T12:47:12Z,2025-11-21T12:47:19Z,2025-11-21T12:05:17Z,Foorcee,False,0,15,0,0.0291087962962962,False,False,0,False,0,0,0,0,True,8,302,3,305,N,No clear unrelated indicator
