pr_number,pr_url,build_id,build_name,build_url,commit_sha,build_started_at,build_completed_at,pr_created_at,pr_author,has_unrelated_discussion,num_associated_comments,num_parallel_issues,num_prior_comments,ci_latency_days,has_code_patch,is_shared_same_emsg,num_similar_failures,has_config_files,config_files_count,config_lines_added,config_lines_deleted,config_lines_modified,has_source_code,source_code_files_count,source_code_lines_added,source_code_lines_deleted,source_code_lines_modified,label,label_reason
37579,https://github.com/keycloak/keycloak/pull/37579,37650497459,Store IT (mssql),https://github.com/keycloak/keycloak/actions/runs/13473775767/job/37650497459,e2f97f8c47ca76cad9691f952694a167fb17843d,2025-02-22T14:31:30Z,2025-02-22T15:03:32Z,2025-02-22T14:26:29Z,Todor13,True,3,2,0,0.0034837962962962,True,False,0,False,0,0,0,0,True,3,132,98,230,P,Heuristic: has_unrelated_discussion=True
37579,https://github.com/keycloak/keycloak/pull/37579,37650497755,Store IT (mariadb),https://github.com/keycloak/keycloak/actions/runs/13473775767/job/37650497755,e2f97f8c47ca76cad9691f952694a167fb17843d,2025-02-22T14:31:30Z,2025-02-22T15:01:39Z,2025-02-22T14:26:29Z,Todor13,True,3,2,0,0.0034837962962962,True,False,0,False,0,0,0,0,True,3,132,98,230,P,Heuristic: has_unrelated_discussion=True
37579,https://github.com/keycloak/keycloak/pull/37579,37651036831,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/13473775767/job/37651036831,e2f97f8c47ca76cad9691f952694a167fb17843d,2025-02-22T15:07:52Z,2025-02-22T15:07:58Z,2025-02-22T14:26:29Z,Todor13,True,3,2,0,0.0287384259259259,True,False,0,False,0,0,0,0,True,3,132,98,230,P,Heuristic: has_unrelated_discussion=True
36366,https://github.com/keycloak/keycloak/pull/36366,35955076113,External links check,https://github.com/keycloak/keycloak/actions/runs/12895036056/job/35955076113,c6be92cd2a16cd3b551ad191e3d29c42f86cc467,2025-01-21T20:12:54Z,2025-01-21T20:16:15Z,2025-01-12T20:10:50Z,ahus1,True,2,10,0,9.001435185185185,False,False,0,True,1,3,0,3,True,5,130,15,145,P,Heuristic: has_unrelated_discussion=True
36890,https://github.com/keycloak/keycloak/pull/36890,36324634702,"Admin UI E2E (4, chrome)",https://github.com/keycloak/keycloak/actions/runs/13022008365/job/36324634702,ce09061264fed1109a97f8c9a362029fc9e2c050,2025-01-29T00:22:20Z,2025-01-29T00:29:51Z,2025-01-28T20:55:16Z,bdovaz,True,1,16,0,0.1437962962962962,True,False,0,True,1,0,3,3,True,2,8,9,17,P,Heuristic: has_unrelated_discussion=True
36890,https://github.com/keycloak/keycloak/pull/36890,36324977775,Status Check - Keycloak JavaScript CI,https://github.com/keycloak/keycloak/actions/runs/13022008365/job/36324977775,ce09061264fed1109a97f8c9a362029fc9e2c050,2025-01-29T00:38:30Z,2025-01-29T00:38:37Z,2025-01-28T20:55:16Z,bdovaz,True,1,16,0,0.1550231481481481,True,False,0,True,1,0,3,3,True,2,8,9,17,P,Heuristic: has_unrelated_discussion=True
36777,https://github.com/keycloak/keycloak/pull/36777,36114903089,External links check,https://github.com/keycloak/keycloak/actions/runs/12947722580/job/36114903089,670f911267a9e689aeac5051d0b9c7fcaf15621c,2025-01-24T10:22:10Z,2025-01-24T10:23:26Z,2025-01-24T07:58:14Z,ahus1,True,2,23,1,0.0999537037037037,True,False,0,True,9,18,18,36,False,0,0,0,0,P,Heuristic: has_unrelated_discussion=True
35079,https://github.com/keycloak/keycloak/pull/35079,33190059222,Base IT (4),https://github.com/keycloak/keycloak/actions/runs/11909055607/job/33190059222,ba38352c16447694b400301e9b4d78ad25c892d3,2024-11-19T09:54:23Z,2024-11-19T10:19:15Z,2024-11-19T08:29:24Z,mabartos,True,2,29,1,0.0590162037037037,True,False,0,True,2,2,30,32,False,0,0,0,0,P,Heuristic: has_unrelated_discussion=True
35079,https://github.com/keycloak/keycloak/pull/35079,33191420425,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/11909055607/job/33191420425,ba38352c16447694b400301e9b4d78ad25c892d3,2024-11-19T10:19:22Z,2024-11-19T10:19:28Z,2024-11-19T08:29:24Z,mabartos,True,1,29,2,0.0763657407407407,True,False,0,True,2,2,30,32,False,0,0,0,0,P,Heuristic: has_unrelated_discussion=True
35248,https://github.com/keycloak/keycloak/pull/35248,33403668386,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/11979130672/job/33403668386,0c9cb3366700489230fb59d9c3490fd12fc41fab,2024-11-22T21:04:25Z,2024-11-22T21:04:31Z,2024-11-22T19:47:08Z,shawkins,True,2,21,0,0.0536689814814814,True,False,0,False,0,0,0,0,True,6,54,31,85,P,Heuristic: has_unrelated_discussion=True
35248,https://github.com/keycloak/keycloak/pull/35248,33400559473,AuroraDB IT,https://github.com/keycloak/keycloak/actions/runs/11979100119/job/33400559473,0c9cb3366700489230fb59d9c3490fd12fc41fab,2024-11-22T19:47:12Z,2024-11-22T21:17:22Z,2024-11-22T19:47:08Z,shawkins,True,2,21,0,4.629629629629629e-05,True,False,0,False,0,0,0,0,True,6,54,31,85,P,Heuristic: has_unrelated_discussion=True
35248,https://github.com/keycloak/keycloak/pull/35248,33400846767,Test PoC,https://github.com/keycloak/keycloak/actions/runs/11979100119/job/33400846767,0c9cb3366700489230fb59d9c3490fd12fc41fab,2024-11-22T20:01:04Z,2024-11-22T20:03:50Z,2024-11-22T19:47:08Z,shawkins,True,2,21,0,0.0096759259259259,True,False,0,False,0,0,0,0,True,6,54,31,85,P,Heuristic: has_unrelated_discussion=True
35248,https://github.com/keycloak/keycloak/pull/35248,33403299848,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/11979100119/job/33403299848,0c9cb3366700489230fb59d9c3490fd12fc41fab,2024-11-22T20:53:38Z,2024-11-22T20:53:44Z,2024-11-22T19:47:08Z,shawkins,True,2,21,0,0.0461805555555555,True,False,0,False,0,0,0,0,True,6,54,31,85,P,Heuristic: has_unrelated_discussion=True
35248,https://github.com/keycloak/keycloak/pull/35248,33403499465,CodeQL TypeScript,https://github.com/keycloak/keycloak/actions/runs/11979100115/job/33403499465,0c9cb3366700489230fb59d9c3490fd12fc41fab,2024-11-22T20:59:22Z,2024-11-22T21:01:29Z,2024-11-22T19:47:08Z,shawkins,True,2,21,0,0.050162037037037,True,False,0,False,0,0,0,0,True,6,54,31,85,P,Heuristic: has_unrelated_discussion=True
35248,https://github.com/keycloak/keycloak/pull/35248,33403499821,CodeQL JavaScript,https://github.com/keycloak/keycloak/actions/runs/11979100115/job/33403499821,0c9cb3366700489230fb59d9c3490fd12fc41fab,2024-11-22T20:59:22Z,2024-11-22T21:01:27Z,2024-11-22T19:47:08Z,shawkins,True,2,21,0,0.050162037037037,True,False,0,False,0,0,0,0,True,6,54,31,85,P,Heuristic: has_unrelated_discussion=True
35248,https://github.com/keycloak/keycloak/pull/35248,33403645448,Status Check - CodeQL,https://github.com/keycloak/keycloak/actions/runs/11979100115/job/33403645448,0c9cb3366700489230fb59d9c3490fd12fc41fab,2024-11-22T21:03:03Z,2024-11-22T21:03:11Z,2024-11-22T19:47:08Z,shawkins,True,2,21,0,0.0527199074074074,True,False,0,False,0,0,0,0,True,6,54,31,85,P,Heuristic: has_unrelated_discussion=True

