project_name,comment_id,issue_id,label,deletions,insertions,files,num_parrel_issues,num_prior_comments,if_cross_project,num_parrel_commits,num_of_developers,commit_num,type_id,priority_id,is_share_same_emsg,is_share_similar_emsg,num_of_sf_comments,share_same_emsg,is_Incorporates,is_dependent,is_Duplicate,is_Reference,is_Cloners,is_Regression,is_Blocker,is_Supercedes,is_Container,is_Required,is_Problem/Incident,is_Blocked,is_Dependent,is_Completes,is_Child-Issue,is_Dependency,is_Testing,time,day,Time_difference,comment_created_at,created,has_config_files,has_source_code,lines_of_source_code_added,lines_of_source_code_deleted,lines_of_source_code_modified,num_of_modified_source_code_files,lines_of_config_file_added,lines_of_config_file_deleted,lines_of_config_file_modified,num_of_modified_config_files,has_contains_code_patch,lines_of_Test_classes_added,lines_of_Test_classes_deleted,lines_of_Test_classes_modified,lines_of_Test_files,has_contain_Test_files
HADOOP,12475287.0,878,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172190055,13567.014525462962,0.3042245370379532,Fri 23 Feb 2007 08:20:55 +0000,Wed 10 Jan 2007 19:37:22 +0000,0.0,0.0,2.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12475710.0,1040,0,0.0,0.0,0.0,0,0,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172368509,13569.07996527778,0.0598611111126956,Sun 25 Feb 2007 09:55:09 +0000,Sun 25 Feb 2007 08:34:10 +0000,0.0,0.0,89.0,73.0,162.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12476005.0,1036,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,2,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172495890,13570.554282407407,0.0101157407407299,Mon 26 Feb 2007 21:18:10 +0000,Fri 23 Feb 2007 19:05:33 +0000,0.0,0.0,5.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12476035.0,1020,0,0.0,0.0,0.0,0,7,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172502970,13570.636226851851,0.0220486111102218,Mon 26 Feb 2007 23:16:10 +0000,Wed 14 Feb 2007 20:14:46 +0000,0.0,0.0,16.0,16.0,32.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12476088.0,1020,0,0.0,0.0,0.0,0,7,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172533197,13570.986076388888,0.0099421296290529,Tue 27 Feb 2007 07:39:57 +0000,Wed 14 Feb 2007 20:14:46 +0000,0.0,0.0,16.0,16.0,32.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12476369.0,1032,0,0.0,0.0,0.0,0,4,0,0,0,0.0,2,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172579710,13571.524421296295,0.0010879629626288,Tue 27 Feb 2007 20:35:10 +0000,Fri 23 Feb 2007 07:51:22 +0000,0.0,0.0,30.0,0.0,30.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12476452.0,1043,0,0.0,0.0,0.0,0,0,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172590645,13571.650983796297,0.0001620370385353,Tue 27 Feb 2007 23:37:25 +0000,Tue 27 Feb 2007 05:37:31 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12476534.0,1032,0,0.0,0.0,0.0,0,4,0,0,0,0.0,2,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172617434,13571.961041666667,0.0876967592594155,Wed 28 Feb 2007 07:03:54 +0000,Fri 23 Feb 2007 07:51:22 +0000,0.0,0.0,30.0,0.0,30.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12476535.0,1020,0,0.0,0.0,0.0,0,7,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172617519,13571.962025462964,0.0009837962952587,Wed 28 Feb 2007 07:05:19 +0000,Wed 14 Feb 2007 20:14:46 +0000,1.0,0.0,16.0,16.0,32.0,2.0,5.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
HADOOP,12477426.0,1041,0,0.0,0.0,0.0,0,0,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172837141,13574.50394675926,0.0010995370357704,Fri 2 Mar 2007 20:05:41 +0000,Mon 26 Feb 2007 05:04:35 +0000,1.0,0.0,257.0,76.0,333.0,11.0,13.0,0.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
