project_name,comment_id,issue_id,label,deletions,insertions,files,num_parrel_issues,num_prior_comments,if_cross_project,num_parrel_commits,num_of_developers,commit_num,type_id,priority_id,is_share_same_emsg,is_share_similar_emsg,num_of_sf_comments,share_same_emsg,is_Blocker,is_Incorporates,is_Reference,is_dependent,is_Duplicate,is_Regression,is_Cloners,is_Required,is_Supercedes,is_Container,is_Blocked,is_Problem/Incident,is_Child-Issue,is_Parent Feature,is_Dependency,is_Dependent,is_Completes,time,day,Time_difference,comment_created_at,created,has_config_files,has_source_code,lines_of_source_code_added,lines_of_source_code_deleted,lines_of_source_code_modified,num_of_modified_source_code_files,lines_of_config_file_added,lines_of_config_file_deleted,lines_of_config_file_modified,num_of_modified_config_files,has_contains_code_patch,lines_of_Test_classes_added,lines_of_Test_classes_deleted,lines_of_Test_classes_modified,lines_of_Test_files,has_contain_Test_files
YARN,13429407.0,22,0,0.0,0.0,0.0,0,8,0,0,0,0.0,1,4,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344257069,15558.530891203704,0.015659722223063,Mon 6 Aug 2012 20:44:29 +0000,Fri 20 Jul 2012 07:34:30 +0000,0.0,0.0,25.0,16.0,41.0,1.0,0.0,0.0,0.0,0.0,1.0,66.0,0.0,66.0,1.0,1.0
YARN,13429407.0,22,0,0.0,0.0,0.0,0,8,0,0,0,0.0,1,4,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344257069,15558.530891203704,0.015659722223063,Mon 6 Aug 2012 20:44:29 +0000,Fri 20 Jul 2012 07:34:30 +0000,0.0,0.0,25.0,16.0,41.0,1.0,0.0,0.0,0.0,0.0,1.0,66.0,0.0,66.0,1.0,1.0
YARN,13441357.0,39,0,0.0,0.0,0.0,0,0,1,0,0,0.0,7,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345803307,15576.427164351851,0.018761574072414,Fri 24 Aug 2012 18:15:07 +0000,Wed 29 Feb 2012 21:59:02 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADOOP,13446481.0,8753,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,4,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1346425784,15583.63175925926,0.0010995370394084,Fri 31 Aug 2012 23:09:44 +0000,Thu 9 Aug 2012 09:35:23 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADOOP,13446481.0,8753,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,4,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1346425784,15583.63175925926,0.0010995370394084,Fri 31 Aug 2012 23:09:44 +0000,Thu 9 Aug 2012 09:35:23 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13448077.0,80,0,0.0,0.0,0.0,0,0,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1346765379,15587.562256944444,0.0156134259268583,Tue 4 Sep 2012 21:29:39 +0000,Wed 19 Oct 2011 07:15:13 +0000,1.0,0.0,17.0,1.0,18.0,2.0,10.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
YARN,13457243.0,40,0,0.0,0.0,0.0,0,16,1,0,0,0.0,1,3,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347880871,15600.47304398148,0.0092592592573055,Mon 17 Sep 2012 19:21:11 +0000,Mon 16 Apr 2012 09:42:58 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13457586.0,40,0,0.0,0.0,0.0,0,16,1,0,0,0.0,1,3,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347912249,15600.836215277775,0.0086458333316841,Tue 18 Sep 2012 04:04:09 +0000,Mon 16 Apr 2012 09:42:58 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13464707.0,106,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348723193,15610.222141203703,0.0041319444444525,Thu 27 Sep 2012 13:19:53 +0000,Thu 13 Sep 2012 14:34:44 +0000,0.0,0.0,59.0,7.0,66.0,2.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,34.0,1.0,1.0
YARN,13466268.0,137,0,0.0,0.0,0.0,0,0,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348909607,15612.379710648149,0.0065393518525525,Sat 29 Sep 2012 17:06:47 +0000,Mon 11 Jun 2012 17:50:37 +0000,1.0,0.0,39.0,11.0,50.0,7.0,1.0,0.0,1.0,1.0,1.0,35.0,8.0,43.0,7.0,1.0
YARN,13466376.0,138,0,0.0,0.0,0.0,0,11,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348938371,15612.712627314815,0.0120949074080272,Sun 30 Sep 2012 01:06:11 +0000,Tue 5 Jun 2012 12:15:00 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13467311.0,40,0,0.0,0.0,0.0,0,16,1,0,0,0.0,1,3,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349105552,15614.647592592592,8.101851744868327e-05,Mon 1 Oct 2012 23:32:32 +0000,Mon 16 Apr 2012 09:42:58 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13468283.0,33,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349204559,15615.793506944445,0.0031944444435794,Wed 3 Oct 2012 03:02:39 +0000,Mon 20 Aug 2012 21:24:12 +0000,0.0,0.0,32.0,5.0,37.0,1.0,0.0,0.0,0.0,0.0,1.0,49.0,0.0,49.0,1.0,1.0
YARN,13468283.0,33,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349204559,15615.793506944445,0.0031944444435794,Wed 3 Oct 2012 03:02:39 +0000,Mon 20 Aug 2012 21:24:12 +0000,0.0,0.0,32.0,5.0,37.0,1.0,0.0,0.0,0.0,0.0,1.0,49.0,0.0,49.0,1.0,1.0
YARN,13470012.0,140,1,0.0,0.0,0.0,0,32,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349382307,15617.850775462965,0.1903356481489027,Fri 5 Oct 2012 04:25:07 +0000,Tue 2 Oct 2012 17:55:53 +0000,1.0,0.0,2.0,1.0,3.0,1.0,75.0,256.0,331.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0
YARN,13470804.0,127,0,0.0,0.0,0.0,0,6,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349453296,15618.672407407408,0.0137847222231357,Sat 6 Oct 2012 00:08:16 +0000,Mon 24 Sep 2012 01:01:17 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13471809.0,127,1,0.0,0.0,0.0,0,6,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349697073,15621.493900462963,0.0139699074079544,Mon 8 Oct 2012 19:51:13 +0000,Mon 24 Sep 2012 01:01:17 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13471900.0,40,0,0.0,0.0,0.0,0,16,1,0,0,0.0,1,3,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349704247,15621.57693287037,0.0049421296298532,Mon 8 Oct 2012 21:50:47 +0000,Mon 16 Apr 2012 09:42:58 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13472100.0,136,0,0.0,0.0,0.0,0,4,1,0,0,0.0,1,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349724299,15621.809016203704,0.0223726851854735,Tue 9 Oct 2012 03:24:59 +0000,Sat 29 Sep 2012 01:32:40 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13472617.0,136,0,0.0,0.0,0.0,0,4,1,0,0,0.0,1,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349779010,15622.442245370372,0.0112037037069967,Tue 9 Oct 2012 18:36:50 +0000,Sat 29 Sep 2012 01:32:40 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13479248.0,140,0,0.0,0.0,0.0,0,32,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350557995,15631.458275462965,0.0080092592597793,Thu 18 Oct 2012 18:59:55 +0000,Tue 2 Oct 2012 17:55:53 +0000,1.0,0.0,2.0,1.0,3.0,1.0,86.0,256.0,342.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0
YARN,13480579.0,139,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350667088,15632.720925925923,0.0110995370359887,Sat 20 Oct 2012 01:18:08 +0000,Mon 1 Oct 2012 19:51:20 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13480597.0,135,0,0.0,0.0,0.0,0,10,1,0,0,0.0,7,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350670214,15632.757106481482,0.0140740740735054,Sat 20 Oct 2012 02:10:14 +0000,Fri 28 Sep 2012 01:19:03 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13482029.0,179,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350928016,15635.740925925928,0.0109722222241543,Tue 23 Oct 2012 01:46:56 +0000,Mon 22 Oct 2012 18:45:53 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13483874.0,129,1,0.0,0.0,0.0,0,0,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351108686,15637.832013888888,0.0431597222213895,Thu 25 Oct 2012 03:58:06 +0000,Tue 25 Sep 2012 10:54:22 +0000,1.0,0.0,33.0,148.0,181.0,4.0,0.0,59.0,59.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
YARN,13487071.0,186,0,0.0,0.0,0.0,0,4,0,0,0,0.0,7,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351591404,15643.419027777776,0.0069328703684732,Tue 30 Oct 2012 18:03:24 +0000,Fri 26 Oct 2012 11:43:43 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13491530.0,186,0,0.0,0.0,0.0,0,4,0,0,0,0.0,7,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352187276,15650.315694444444,0.5831365740741603,Tue 6 Nov 2012 15:34:36 +0000,Fri 26 Oct 2012 11:43:43 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13491752.0,204,0,0.0,0.0,0.0,0,0,0,0,0,0.0,7,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352201831,15650.484155092592,0.0289004629612463,Tue 6 Nov 2012 19:37:11 +0000,Tue 6 Nov 2012 15:18:46 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13500323.0,219,0,0.0,0.0,0.0,0,0,0,0,0,0.0,7,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1353311193,15663.323993055556,0.0105555555546743,Mon 19 Nov 2012 15:46:33 +0000,Fri 16 Nov 2012 18:34:47 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13504795.0,222,0,0.0,0.0,0.0,0,0,0,0,0,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1354009718,15671.408773148149,0.0011921296299988,Tue 27 Nov 2012 17:48:38 +0000,Sat 17 Nov 2012 00:39:39 +0000,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
YARN,13510917.0,249,0,0.0,0.0,0.0,0,5,1,0,0,0.0,4,3,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1354721870,15679.651273148149,0.015694444446126,Wed 5 Dec 2012 23:37:50 +0000,Thu 29 Nov 2012 21:26:22 +0000,1.0,0.0,45.0,1.0,46.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
YARN,13511043.0,249,0,0.0,0.0,0.0,0,5,1,0,0,0.0,4,3,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1354733950,15679.791087962964,0.1241898148145992,Thu 6 Dec 2012 02:59:10 +0000,Thu 29 Nov 2012 21:26:22 +0000,1.0,0.0,47.0,1.0,48.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
YARN,13511562.0,103,0,0.0,0.0,0.0,0,0,1,0,0,0.0,7,3,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1354787661,15680.412743055556,0.0160532407408027,Thu 6 Dec 2012 17:54:21 +0000,Wed 12 Sep 2012 17:53:11 +0000,1.0,0.0,495.0,160.0,655.0,3.0,7.0,1.0,8.0,1.0,1.0,218.0,1.0,219.0,2.0,1.0
YARN,13529601.0,230,0,0.0,0.0,0.0,0,0,1,0,0,0.0,7,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1355254548,15685.81652777778,0.2225462962960591,Wed 12 Dec 2012 03:35:48 +0000,Tue 20 Nov 2012 13:25:31 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YARN,13540822.0,2,0,0.0,0.0,0.0,0,82,1,0,0,0.0,2,3,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356742648,15703.039907407408,0.0387731481478113,Sat 29 Dec 2012 08:57:28 +0000,Fri 8 Jun 2012 05:15:06 +0000,1.0,0.0,755.0,243.0,998.0,35.0,40.0,2.0,42.0,2.0,1.0,212.0,137.0,349.0,18.0,1.0
YARN,13540822.0,2,0,0.0,0.0,0.0,0,82,1,0,0,0.0,2,3,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356742648,15703.039907407408,0.0387731481478113,Sat 29 Dec 2012 08:57:28 +0000,Fri 8 Jun 2012 05:15:06 +0000,1.0,0.0,755.0,243.0,998.0,35.0,40.0,2.0,42.0,2.0,1.0,212.0,137.0,349.0,18.0,1.0
YARN,13540848.0,2,0,0.0,0.0,0.0,0,82,1,0,0,0.0,2,3,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356749605,15703.120428240742,0.0485532407419668,Sat 29 Dec 2012 10:53:25 +0000,Fri 8 Jun 2012 05:15:06 +0000,1.0,0.0,755.0,243.0,998.0,35.0,40.0,2.0,42.0,2.0,1.0,212.0,137.0,349.0,18.0,1.0
YARN,13540848.0,2,0,0.0,0.0,0.0,0,82,1,0,0,0.0,2,3,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356749605,15703.120428240742,0.0485532407419668,Sat 29 Dec 2012 10:53:25 +0000,Fri 8 Jun 2012 05:15:06 +0000,1.0,0.0,755.0,243.0,998.0,35.0,40.0,2.0,42.0,2.0,1.0,212.0,137.0,349.0,18.0,1.0
YARN,13542320.0,300,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1357125957,15707.476354166669,0.0162731481468654,Wed 2 Jan 2013 19:25:57 +0000,Mon 31 Dec 2012 11:41:56 +0000,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
YARN,13542419.0,288,1,0.0,0.0,0.0,0,0,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1357132818,15707.555763888888,0.0027083333334303,Wed 2 Jan 2013 21:20:18 +0000,Sat 22 Dec 2012 00:08:27 +0000,0.0,0.0,16.0,21.0,37.0,4.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,26.0,1.0,1.0
YARN,13542553.0,50,0,0.0,0.0,0.0,0,15,0,0,0,0.0,7,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1357140922,15707.649560185186,0.0037615740748151,Wed 2 Jan 2013 23:35:22 +0000,Wed 18 Apr 2012 23:42:40 +0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
